Volume Tandon (L);Waktu (s);TDS Awal (ppm);TDS Akhir (ppm);Delta TDS (ppm);Rata Rata Delta TDS (ppm);
80;57;1203;1256;53;;
80;57;1256;1309;53;;
80;57;1309;1369;60;;
80;57;1369;1428;59;;
80;57;1428;1486;58;;
80;57;1486;1547;61;;
80;57;1547;1607;60;;
80;57;1607;1664;57;;
80;57;1664;1721;57;;
80;58;1721;1778;57;58,3;
80;58;1778;1839;61;;
80;58;1839;1899;60;;
80;58;1899;1959;60;;
80;58;289;348;59;;
80;58;348;402;54;;
80;58;402;462;60;;
80;58;462;524;62;;
80;58;524;579;55;;
80;58;579;634;55;;
80;59;634;697;63;60,1;
80;59;697;755;58;;
80;59;755;814;59;;
80;59;814;870;56;;
80;59;870;928;58;;
80;59;928;992;64;;
80;59;992;1053;61;;
80;59;1053;1114;61;;
80;59;1114;1171;57;;
80;59;1171;1235;64;;
80;60;1235;1297;62;61,3;
80;60;1297;1354;57;;
80;60;1354;1420;66;;
80;60;1420;1480;60;;
80;60;1480;1540;60;;
80;60;1540;1597;57;;
80;60;1597;1663;66;;
80;60;1663;1723;60;;
80;60;1723;1787;64;;
80;60;1787;1848;61;;
90;1;251;252;1;1;
90;1;252;253;1;;
90;1;253;253;0;;
90;1;253;254;1;;
90;1;254;255;1;;
90;1;255;257;2;;
90;1;257;258;1;;
90;1;258;259;1;;
90;1;259;259;0;;
90;1;259;261;2;;
90;2;261;265;4;2,4;
90;2;265;266;1;;
90;2;266;269;3;;
90;2;269;271;2;;
90;2;271;274;3;;
90;2;274;276;2;;
90;2;276;278;2;;
90;2;278;281;3;;
90;2;281;283;2;;
90;2;283;285;2;;
90;3;285;288;3;3,2;
90;3;288;291;3;;
90;3;291;294;3;;
90;3;294;297;3;;
90;3;297;300;3;;
90;3;300;304;4;;
90;3;304;307;3;;
90;3;307;310;3;;
90;3;310;313;3;;
90;3;313;317;4;;
90;4;317;322;5;4,2;
90;4;322;326;4;;
90;4;326;330;4;;
90;4;330;334;4;;
90;4;334;338;4;;
90;4;338;343;5;;
90;4;343;347;4;;
90;4;347;351;4;;
90;4;351;354;3;;
90;4;354;359;5;;
90;5;359;364;5;5,2;
90;5;364;369;5;;
90;5;369;374;5;;
90;5;374;379;5;;
90;5;379;384;5;;
90;5;384;390;6;;
90;5;390;396;6;;
90;5;396;401;5;;
90;5;401;406;5;;
90;5;406;411;5;;
90;6;411;418;7;6,2;
90;6;418;423;5;;
90;6;423;430;7;;
90;6;430;434;4;;
90;6;434;441;7;;
90;6;441;447;6;;
90;6;447;454;7;;
90;6;454;460;6;;
90;6;460;467;7;;
90;6;467;473;6;;
90;7;473;480;7;7,1;
90;7;480;487;7;;
90;7;487;495;8;;
90;7;495;502;7;;
90;7;502;509;7;;
90;7;509;516;7;;
90;7;516;524;8;;
90;7;524;530;6;;
90;7;530;537;7;;
90;7;537;544;7;;
90;8;544;552;8;8,1;
90;8;552;561;9;;
90;8;561;568;7;;
90;8;568;577;9;;
90;8;577;585;8;;
90;8;585;593;8;;
90;8;593;602;9;;
90;8;602;609;7;;
90;8;609;617;8;;
90;8;617;625;8;;
90;9;625;636;11;9,2;
90;9;636;644;8;;
90;9;644;653;9;;
90;9;653;658;5;;
90;9;658;669;11;;
90;9;669;678;9;;
90;9;678;688;10;;
90;9;688;699;11;;
90;9;699;709;10;;
90;9;709;717;8;;
90;10;717;727;10;10,6;
90;10;727;740;13;;
90;10;740;750;10;;
90;10;750;759;9;;
90;10;759;769;10;;
90;10;769;779;10;;
90;10;779;790;11;;
90;10;790;799;9;;
90;10;799;812;13;;
90;10;812;823;11;;
90;11;823;834;11;11,3;
90;11;834;845;11;;
90;11;845;856;11;;
90;11;856;867;11;;
90;11;867;878;11;;
90;11;878;889;11;;
90;11;889;901;12;;
90;11;901;911;10;;
90;11;911;924;13;;
90;11;924;936;12;;
90;12;936;947;11;12,9;
90;12;947;960;13;;
90;12;960;982;22;;
90;12;982;993;11;;
90;12;993;1005;12;;
90;12;1005;1018;13;;
90;12;1018;1029;11;;
90;12;1029;1041;12;;
90;12;1041;1052;11;;
90;12;1052;1065;13;;
90;13;1065;1078;13;13,4;
90;13;1078;1089;11;;
90;13;1089;1104;15;;
90;13;1104;1119;15;;
90;13;1119;1134;15;;
90;13;1134;1146;12;;
90;13;1146;1159;13;;
90;13;1159;1171;12;;
90;13;1171;1186;15;;
90;13;1186;1199;13;;
90;14;1199;1212;13;14;
90;14;1212;1226;14;;
90;14;1226;1239;13;;
90;14;1239;1255;16;;
90;14;1255;1265;10;;
90;14;1265;1279;14;;
90;14;1279;1294;15;;
90;14;1294;1308;14;;
90;14;1308;1323;15;;
90;14;1323;1339;16;;
90;15;1339;1355;16;15,8;
90;15;1355;1370;15;;
90;15;1370;1383;13;;
90;15;1383;1392;9;;
90;15;1392;1411;19;;
90;15;1411;1430;19;;
90;15;1430;1448;18;;
90;15;1448;1465;17;;
90;15;1465;1481;16;;
90;15;1481;1497;16;;
90;16;1497;1514;17;16,8;
90;16;1514;1533;19;;
90;16;1533;1549;16;;
90;16;1549;1567;18;;
90;16;1567;1583;16;;
90;16;1583;1599;16;;
90;16;1599;1616;17;;
90;16;1616;1632;16;;
90;16;1632;1648;16;;
90;16;1648;1665;17;;
90;17;1665;1682;17;17,2;
90;17;1682;1699;17;;
90;17;1699;1716;17;;
90;17;1716;1734;18;;
90;17;1734;1751;17;;
90;17;1751;1769;18;;
90;17;1769;1786;17;;
90;17;1786;1802;16;;
90;17;1802;1819;17;;
90;17;1819;1837;18;;
90;18;1837;1855;18;18,5;
90;18;1855;1874;19;;
90;18;1874;1892;18;;
90;18;1892;1910;18;;
90;18;1910;1929;19;;
90;18;1929;1947;18;;
90;18;1947;1966;19;;
90;18;1966;1984;18;;
90;18;289;308;19;;
90;18;308;327;19;;
90;19;327;346;19;19,4;
90;19;346;366;20;;
90;19;366;385;19;;
90;19;385;405;20;;
90;19;405;424;19;;
90;19;424;443;19;;
90;19;443;462;19;;
90;19;462;481;19;;
90;19;481;501;20;;
90;19;501;521;20;;
90;20;521;541;20;20,4;
90;20;541;561;20;;
90;20;561;581;20;;
90;20;581;603;22;;
90;20;603;624;21;;
90;20;624;644;20;;
90;20;644;664;20;;
90;20;664;684;20;;
90;20;684;705;21;;
90;20;705;725;20;;
90;21;725;746;21;21,8;
90;21;746;769;23;;
90;21;769;794;25;;
90;21;794;816;22;;
90;21;816;839;23;;
90;21;839;861;22;;
90;21;861;881;20;;
90;21;881;902;21;;
90;21;902;922;20;;
90;21;922;943;21;;
90;22;943;965;22;22,8;
90;22;965;989;24;;
90;22;989;1014;25;;
90;22;1014;1037;23;;
90;22;1037;1059;22;;
90;22;1059;1082;23;;
90;22;1082;1104;22;;
90;22;1104;1126;22;;
90;22;1126;1148;22;;
90;22;1148;1171;23;;
90;23;1171;1194;23;23,5;
90;23;1194;1217;23;;
90;23;1217;1240;23;;
90;23;1240;1264;24;;
90;23;1264;1287;23;;
90;23;1287;1310;23;;
90;23;1310;1334;24;;
90;23;1334;1359;25;;
90;23;1359;1382;23;;
90;23;1382;1406;24;;
90;24;1406;1430;24;24,4;
90;24;1430;1455;25;;
90;24;1455;1481;26;;
90;24;1481;1505;24;;
90;24;1505;1530;25;;
90;24;1530;1554;24;;
90;24;1554;1578;24;;
90;24;1578;1601;23;;
90;24;1601;1625;24;;
90;24;1625;1650;25;;
90;25;1650;1675;25;25,9;
90;25;1675;1702;27;;
90;25;1702;1726;24;;
90;25;1726;1751;25;;
90;25;1751;1777;26;;
90;25;1777;1803;26;;
90;25;1803;1829;26;;
90;25;1829;1856;27;;
90;25;1856;1883;27;;
90;25;1883;1909;26;;
90;26;1909;1935;26;26,4;
90;26;1935;1962;27;;
90;26;1962;1988;26;;
90;26;276;303;27;;
90;26;303;329;26;;
90;26;329;355;26;;
90;26;355;381;26;;
90;26;381;408;27;;
90;26;408;434;26;;
90;26;434;461;27;;
90;27;461;487;26;27,1;
90;27;487;514;27;;
90;27;514;541;27;;
90;27;541;569;28;;
90;27;569;596;27;;
90;27;596;622;26;;
90;27;622;650;28;;
90;27;650;677;27;;
90;27;677;705;28;;
90;27;705;732;27;;
90;28;732;760;28;28,5;
90;28;760;789;29;;
90;28;789;818;29;;
90;28;818;846;28;;
90;28;846;874;28;;
90;28;874;903;29;;
90;28;903;931;28;;
90;28;931;960;29;;
90;28;960;988;28;;
90;28;988;1017;29;;
90;29;1017;1046;29;29,3;
90;29;1046;1076;30;;
90;29;1076;1105;29;;
90;29;1105;1134;29;;
90;29;1134;1164;30;;
90;29;1164;1194;30;;
90;29;1194;1223;29;;
90;29;1223;1252;29;;
90;29;1252;1281;29;;
90;29;1281;1310;29;;
90;30;1310;1340;30;30,1;
90;30;1340;1371;31;;
90;30;1371;1401;30;;
90;30;1401;1430;29;;
90;30;1430;1460;30;;
90;30;1460;1490;30;;
90;30;1490;1520;30;;
90;30;1520;1551;31;;
90;30;1551;1581;30;;
90;30;1581;1611;30;;
90;31;1611;1643;32;31;
90;31;1643;1676;33;;
90;31;1676;1709;33;;
90;31;1709;1743;34;;
90;31;1743;1771;28;;
90;31;1771;1802;31;;
90;31;1802;1829;27;;
90;31;1829;1865;36;;
90;31;1865;1894;29;;
90;31;1894;1921;27;;
90;32;1921;1957;36;32,5;
90;32;1957;1989;32;;
90;32;289;322;33;;
90;32;322;349;27;;
90;32;349;381;32;;
90;32;381;413;32;;
90;32;413;450;37;;
90;32;450;481;31;;
90;32;481;509;28;;
90;32;509;546;37;;
90;33;546;582;36;33,4;
90;33;582;619;37;;
90;33;619;653;34;;
90;33;653;690;37;;
90;33;690;726;36;;
90;33;726;756;30;;
90;33;756;786;30;;
90;33;786;818;32;;
90;33;818;848;30;;
90;33;848;880;32;;
90;34;880;919;39;35,1;
90;34;919;949;30;;
90;34;949;988;39;;
90;34;988;1021;33;;
90;34;1021;1052;31;;
90;34;1052;1082;30;;
90;34;1082;1120;38;;
90;34;1120;1158;38;;
90;34;1158;1195;37;;
90;34;1195;1231;36;;
90;35;1231;1269;38;37,2;
90;35;1269;1305;36;;
90;35;1305;1344;39;;
90;35;1344;1379;35;;
90;35;1379;1419;40;;
90;35;1419;1460;41;;
90;35;1460;1492;32;;
90;35;1492;1530;38;;
90;35;1530;1571;41;;
90;35;1571;1603;32;;
90;36;1603;1638;35;37,3;
90;36;1638;1675;37;;
90;36;1675;1714;39;;
90;36;1714;1749;35;;
90;36;1749;1791;42;;
90;36;1791;1826;35;;
90;36;1826;1866;40;;
90;36;1866;1905;39;;
90;36;1905;1942;37;;
90;36;1942;1976;34;;
90;37;271;305;34;37,6;
90;37;305;345;40;;
90;37;345;383;38;;
90;37;383;420;37;;
90;37;420;461;41;;
90;37;461;498;37;;
90;37;498;536;38;;
90;37;536;571;35;;
90;37;571;612;41;;
90;37;612;647;35;;
90;38;647;689;42;38,9;
90;38;689;728;39;;
90;38;728;767;39;;
90;38;767;801;34;;
90;38;801;840;39;;
90;38;840;879;39;;
90;38;879;920;41;;
90;38;920;962;42;;
90;38;962;996;34;;
90;38;996;1036;40;;
90;39;1036;1077;41;38,3;
90;39;1077;1115;38;;
90;39;1115;1155;40;;
90;39;1155;1194;39;;
90;39;1194;1234;40;;
90;39;1234;1271;37;;
90;39;1271;1310;39;;
90;39;1310;1345;35;;
90;39;1345;1380;35;;
90;39;1380;1419;39;;
90;40;1419;1461;42;41,6;
90;40;1461;1505;44;;
90;40;1505;1549;44;;
90;40;1549;1589;40;;
90;40;1589;1632;43;;
90;40;1632;1673;41;;
90;40;1673;1709;36;;
90;40;1709;1749;40;;
90;40;1749;1792;43;;
90;40;1792;1835;43;;
90;41;1835;1882;47;42,7;
90;41;1882;1921;39;;
90;41;1921;1964;43;;
90;41;278;322;44;;
90;41;322;361;39;;
90;41;361;406;45;;
90;41;406;448;42;;
90;41;448;492;44;;
90;41;492;532;40;;
90;41;532;576;44;;
90;42;576;619;43;44,1;
90;42;619;665;46;;
90;42;665;708;43;;
90;42;708;751;43;;
90;42;751;794;43;;
90;42;794;834;40;;
90;42;834;880;46;;
90;42;880;928;48;;
90;42;928;975;47;;
90;42;975;1017;42;;
90;43;1017;1060;43;46,2;
90;43;1060;1106;46;;
90;43;1106;1148;42;;
90;43;1148;1193;45;;
90;43;1193;1243;50;;
90;43;1243;1291;48;;
90;43;1291;1332;41;;
90;43;1332;1381;49;;
90;43;1381;1431;50;;
90;43;1431;1479;48;;
90;44;1479;1526;47;46,1;
90;44;1526;1575;49;;
90;44;1575;1623;48;;
90;44;1623;1670;47;;
90;44;1670;1713;43;;
90;44;1713;1757;44;;
90;44;1757;1807;50;;
90;44;1807;1851;44;;
90;44;1851;1897;46;;
90;44;1897;1940;43;;
90;45;1940;1991;51;46,9;
90;45;298;343;45;;
90;45;343;392;49;;
90;45;392;440;48;;
90;45;440;483;43;;
90;45;483;529;46;;
90;45;529;574;45;;
90;45;574;618;44;;
90;45;618;667;49;;
90;45;667;716;49;;
90;46;716;759;43;47,1;
90;46;759;808;49;;
90;46;808;851;43;;
90;46;851;894;43;;
90;46;894;940;46;;
90;46;940;991;51;;
90;46;991;1036;45;;
90;46;1036;1085;49;;
90;46;1085;1135;50;;
90;46;1135;1187;52;;
90;47;1187;1239;52;49,2;
90;47;1239;1290;51;;
90;47;1290;1336;46;;
90;47;1336;1382;46;;
90;47;1382;1434;52;;
90;47;1434;1482;48;;
90;47;1482;1528;46;;
90;47;1528;1579;51;;
90;47;1579;1626;47;;
90;47;1626;1679;53;;
90;48;1679;1730;51;49;
90;48;1730;1778;48;;
90;48;1778;1825;47;;
90;48;1825;1873;48;;
90;48;1873;1923;50;;
90;48;1923;1973;50;;
90;48;298;345;47;;
90;48;345;399;54;;
90;48;399;447;48;;
90;48;447;494;47;;
90;49;494;547;53;51;
90;49;547;595;48;;
90;49;595;649;54;;
90;49;649;704;55;;
90;49;704;753;49;;
90;49;753;800;47;;
90;49;800;854;54;;
90;49;854;906;52;;
90;49;906;952;46;;
90;49;952;1004;52;;
90;50;1004;1058;54;52,3;
90;50;1058;1106;48;;
90;50;1106;1160;54;;
90;50;1160;1213;53;;
90;50;1213;1260;47;;
90;50;1260;1310;50;;
90;50;1310;1366;56;;
90;50;1366;1423;57;;
90;50;1423;1474;51;;
90;50;1474;1527;53;;
90;51;1527;1580;53;54;
90;51;1580;1633;53;;
90;51;1633;1690;57;;
90;51;1690;1748;58;;
90;51;1748;1801;53;;
90;51;1801;1859;58;;
90;51;1859;1910;51;;
90;51;1910;1963;53;;
90;51;256;311;55;;
90;51;311;360;49;;
90;52;360;411;51;54,9;
90;52;411;464;53;;
90;52;464;514;50;;
90;52;514;567;53;;
90;52;567;621;54;;
90;52;621;680;59;;
90;52;680;736;56;;
90;52;736;792;56;;
90;52;792;851;59;;
90;52;851;909;58;;
90;53;909;964;55;56;
90;53;964;1019;55;;
90;53;1019;1071;52;;
90;53;1071;1131;60;;
90;53;1131;1188;57;;
90;53;1188;1243;55;;
90;53;1243;1299;56;;
90;53;1299;1354;55;;
90;53;1354;1413;59;;
90;53;1413;1469;56;;
90;54;1469;1527;58;57,9;
90;54;1527;1580;53;;
90;54;1580;1639;59;;
90;54;1639;1699;60;;
90;54;1699;1761;62;;
90;54;1761;1823;62;;
90;54;1823;1877;54;;
90;54;1877;1934;57;;
90;54;1934;1986;52;;
90;54;298;360;62;;
90;55;360;414;54;57,6;
90;55;414;469;55;;
90;55;469;528;59;;
90;55;528;591;63;;
90;55;591;645;54;;
90;55;645;701;56;;
90;55;701;759;58;;
90;55;759;822;63;;
90;55;822;879;57;;
90;55;879;936;57;;
90;56;936;994;58;58,2;
90;56;994;1053;59;;
90;56;1053;1109;56;;
90;56;1109;1166;57;;
90;56;1166;1227;61;;
90;56;1227;1290;63;;
90;56;1290;1345;55;;
90;56;1345;1406;61;;
90;56;1406;1461;55;;
90;56;1461;1518;57;;
90;57;1518;1582;64;60,4;
90;57;1582;1643;61;;
90;57;1643;1701;58;;
90;57;1701;1761;60;;
90;57;1761;1825;64;;
90;57;1825;1883;58;;
90;57;1883;1946;63;;
90;57;276;334;58;;
90;57;334;394;60;;
90;57;394;452;58;;
90;58;452;517;65;64,1;
90;58;517;582;65;;
90;58;582;644;62;;
90;58;644;706;62;;
90;58;706;772;66;;
90;58;772;838;66;;
90;58;838;904;66;;
90;58;904;967;63;;
90;58;967;1033;66;;
90;58;1033;1093;60;;
90;59;1093;1154;61;64,4;
90;59;1154;1219;65;;
90;59;1219;1286;67;;
90;59;1286;1347;61;;
90;59;1347;1414;67;;
90;59;1414;1480;66;;
90;59;1480;1544;64;;
90;59;1544;1610;66;;
90;59;1610;1672;62;;
90;59;1672;1737;65;;
90;60;1737;1804;67;65,9;
90;60;1804;1869;65;;
90;60;1869;1938;69;;
90;60;275;343;68;;
90;60;343;412;69;;
90;60;412;473;61;;
90;60;473;537;64;;
90;60;537;603;66;;
90;60;603;671;68;;
90;60;671;733;62;;
100;1;259;256;3;0,8;
100;1;256;258;2;;
100;1;258;256;2;;
100;1;256;256;0;;
100;1;256;256;0;;
100;1;256;256;0;;
100;1;256;257;1;;
100;1;257;257;0;;
100;1;257;257;0;;
100;1;257;257;0;;
100;2;257;261;4;1,1;
100;2;261;262;1;;
100;2;262;263;1;;
100;2;263;263;0;;
100;2;263;265;2;;
100;2;265;266;1;;
100;2;266;267;1;;
100;2;267;267;0;;
100;2;267;267;0;;
100;2;267;268;1;;
100;3;268;271;3;1,9;
100;3;271;274;3;;
100;3;274;278;4;;
100;3;278;280;2;;
100;3;280;281;1;;
100;3;281;282;1;;
100;3;282;283;1;;
100;3;283;285;2;;
100;3;285;286;1;;
100;3;286;287;1;;
100;4;287;291;4;2,7;
100;4;291;293;2;;
100;4;293;297;4;;
100;4;297;300;3;;
100;4;300;302;2;;
100;4;302;305;3;;
100;4;305;308;3;;
100;4;308;310;2;;
100;4;310;312;2;;
100;4;312;314;2;;
100;5;314;319;5;3,7;
100;5;319;323;4;;
100;5;323;328;5;;
100;5;328;332;4;;
100;5;332;335;3;;
100;5;335;338;3;;
100;5;338;342;4;;
100;5;342;345;3;;
100;5;345;349;4;;
100;5;349;351;2;;
100;6;351;356;5;4,8;
100;6;356;362;6;;
100;6;362;368;6;;
100;6;368;372;4;;
100;6;372;377;5;;
100;6;377;381;4;;
100;6;381;385;4;;
100;6;385;390;5;;
100;6;390;394;4;;
100;6;394;399;5;;
100;7;399;405;6;6;
100;7;405;412;7;;
100;7;412;418;6;;
100;7;418;424;6;;
100;7;424;429;5;;
100;7;429;435;6;;
100;7;435;442;7;;
100;7;442;448;6;;
100;7;448;453;5;;
100;7;453;459;6;;
100;8;459;466;7;6,6;
100;8;466;475;9;;
100;8;475;482;7;;
100;8;482;488;6;;
100;8;488;493;5;;
100;8;493;499;6;;
100;8;499;506;7;;
100;8;506;512;6;;
100;8;512;519;7;;
100;8;519;525;6;;
100;9;525;533;8;7,3;
100;9;533;542;9;;
100;9;542;550;8;;
100;9;550;556;6;;
100;9;556;563;7;;
100;9;563;570;7;;
100;9;570;576;6;;
100;9;576;583;7;;
100;9;583;591;8;;
100;9;591;598;7;;
100;10;598;605;7;8,5;
100;10;605;616;11;;
100;10;616;626;10;;
100;10;626;634;8;;
100;10;634;641;7;;
100;10;641;649;8;;
100;10;649;658;9;;
100;10;658;666;8;;
100;10;666;675;9;;
100;10;675;683;8;;
100;11;683;692;9;9;
100;11;692;701;9;;
100;11;701;710;9;;
100;11;710;719;9;;
100;11;719;728;9;;
100;11;728;737;9;;
100;11;737;745;8;;
100;11;745;755;10;;
100;11;755;764;9;;
100;11;764;773;9;;
100;12;773;784;11;9,9;
100;12;784;796;12;;
100;12;796;808;12;;
100;12;808;818;10;;
100;12;818;828;10;;
100;12;828;837;9;;
100;12;837;846;9;;
100;12;846;854;8;;
100;12;854;863;9;;
100;12;863;872;9;;
100;13;872;883;11;10,9;
100;13;883;895;12;;
100;13;895;906;11;;
100;13;906;916;10;;
100;13;916;927;11;;
100;13;927;939;12;;
100;13;939;949;10;;
100;13;949;960;11;;
100;13;960;971;11;;
100;13;971;981;10;;
100;14;981;993;12;11,8;
100;14;993;1004;11;;
100;14;1004;1019;15;;
100;14;1019;1031;12;;
100;14;1031;1042;11;;
100;14;1042;1054;12;;
100;14;1054;1064;10;;
100;14;1064;1075;11;;
100;14;1075;1087;12;;
100;14;1087;1099;12;;
100;15;1099;1111;12;12,8;
100;15;1111;1123;12;;
100;15;1123;1137;14;;
100;15;1137;1150;13;;
100;15;1150;1162;12;;
100;15;1162;1175;13;;
100;15;1175;1188;13;;
100;15;1188;1202;14;;
100;15;1202;1214;12;;
100;15;1214;1227;13;;
100;16;1227;1240;13;13,2;
100;16;1240;1253;13;;
100;16;1253;1267;14;;
100;16;1267;1281;14;;
100;16;1281;1294;13;;
100;16;1294;1306;12;;
100;16;1306;1319;13;;
100;16;1319;1332;13;;
100;16;1332;1346;14;;
100;16;1346;1359;13;;
100;17;1359;1373;14;14,5;
100;17;1373;1388;15;;
100;17;1388;1402;14;;
100;17;1402;1417;15;;
100;17;1417;1431;14;;
100;17;1431;1446;15;;
100;17;1446;1460;14;;
100;17;1460;1475;15;;
100;17;1475;1489;14;;
100;17;1489;1504;15;;
100;18;1504;1519;15;15,6;
100;18;1519;1535;16;;
100;18;1535;1550;15;;
100;18;1550;1566;16;;
100;18;1566;1582;16;;
100;18;1582;1597;15;;
100;18;1597;1613;16;;
100;18;1613;1628;15;;
100;18;1628;1644;16;;
100;18;1644;1660;16;;
100;19;1660;1676;16;16,3;
100;19;1676;1693;17;;
100;19;1693;1709;16;;
100;19;1709;1726;17;;
100;19;1726;1742;16;;
100;19;1742;1758;16;;
100;19;1758;1774;16;;
100;19;1774;1791;17;;
100;19;1791;1807;16;;
100;19;1807;1823;16;;
100;20;1823;1840;17;17,6;
100;20;1840;1858;18;;
100;20;1858;1876;18;;
100;20;1876;1893;17;;
100;20;1893;1911;18;;
100;20;1911;1929;18;;
100;20;1929;1946;17;;
100;20;1946;1964;18;;
100;20;1964;1982;18;;
100;20;1982;1999;17;;
100;21;267;284;17;18;
100;21;284;302;18;;
100;21;302;321;19;;
100;21;321;338;17;;
100;21;338;356;18;;
100;21;356;374;18;;
100;21;374;392;18;;
100;21;392;411;19;;
100;21;411;429;18;;
100;21;429;447;18;;
100;22;447;466;19;18,8;
100;22;466;484;18;;
100;22;484;502;18;;
100;22;502;521;19;;
100;22;521;541;20;;
100;22;541;558;17;;
100;22;558;577;19;;
100;22;577;597;20;;
100;22;597;615;18;;
100;22;615;635;20;;
100;23;635;654;19;19,4;
100;23;654;671;17;;
100;23;671;689;18;;
100;23;689;709;20;;
100;23;709;730;21;;
100;23;730;752;22;;
100;23;752;771;19;;
100;23;771;790;19;;
100;23;790;809;19;;
100;23;809;829;20;;
100;24;829;849;20;20,4;
100;24;849;870;21;;
100;24;870;890;20;;
100;24;890;911;21;;
100;24;911;930;19;;
100;24;930;949;19;;
100;24;949;969;20;;
100;24;969;990;21;;
100;24;990;1012;22;;
100;24;1012;1033;21;;
100;25;1033;1054;21;21,7;
100;25;1054;1076;22;;
100;25;1076;1099;23;;
100;25;1099;1119;20;;
100;25;1119;1140;21;;
100;25;1140;1162;22;;
100;25;1162;1185;23;;
100;25;1185;1208;23;;
100;25;1208;1228;20;;
100;25;1228;1250;22;;
100;26;1250;1272;22;22,5;
100;26;1272;1295;23;;
100;26;1295;1317;22;;
100;26;1317;1341;24;;
100;26;1341;1363;22;;
100;26;1363;1385;22;;
100;26;1385;1409;24;;
100;26;1409;1431;22;;
100;26;1431;1454;23;;
100;26;1454;1475;21;;
100;27;1475;1498;23;23,6;
100;27;1498;1522;24;;
100;27;1522;1547;25;;
100;27;1547;1571;24;;
100;27;1571;1594;23;;
100;27;1594;1617;23;;
100;27;1617;1640;23;;
100;27;1640;1664;24;;
100;27;1664;1687;23;;
100;27;1687;1711;24;;
100;28;1711;1735;24;24,7;
100;28;1735;1760;25;;
100;28;1760;1784;24;;
100;28;1784;1809;25;;
100;28;1809;1835;26;;
100;28;1835;1860;25;;
100;28;1860;1884;24;;
100;28;1884;1909;25;;
100;28;1909;1933;24;;
100;28;1933;1958;25;;
100;29;1958;1983;25;25,4;
100;29;278;304;26;;
100;29;304;329;25;;
100;29;329;355;26;;
100;29;355;380;25;;
100;29;380;406;26;;
100;29;406;431;25;;
100;29;431;456;25;;
100;29;456;481;25;;
100;29;481;507;26;;
100;30;507;533;26;26,7;
100;30;533;560;27;;
100;30;560;587;27;;
100;30;587;615;28;;
100;30;615;641;26;;
100;30;641;667;26;;
100;30;667;694;27;;
100;30;694;720;26;;
100;30;720;748;28;;
100;30;748;774;26;;
100;31;774;799;25;26,6;
100;31;799;825;26;;
100;31;825;852;27;;
100;31;852;880;28;;
100;31;880;904;24;;
100;31;904;936;32;;
100;31;936;963;27;;
100;31;963;988;25;;
100;31;988;1014;26;;
100;31;1014;1040;26;;
100;32;1040;1065;25;28,5;
100;32;1065;1093;28;;
100;32;1093;1125;32;;
100;32;1125;1155;30;;
100;32;1155;1186;31;;
100;32;1186;1214;28;;
100;32;1214;1242;28;;
100;32;1242;1268;26;;
100;32;1268;1295;27;;
100;32;1295;1325;30;;
100;33;1325;1357;32;31,1;
100;33;1357;1389;32;;
100;33;1389;1418;29;;
100;33;1418;1450;32;;
100;33;1450;1482;32;;
100;33;1482;1509;27;;
100;33;1509;1540;31;;
100;33;1540;1574;34;;
100;33;1574;1604;30;;
100;33;1604;1636;32;;
100;34;1636;1667;31;31,4;
100;34;1667;1696;29;;
100;34;1696;1723;27;;
100;34;1723;1751;28;;
100;34;1751;1786;35;;
100;34;1786;1821;35;;
100;34;1821;1850;29;;
100;34;1850;1884;34;;
100;34;1884;1916;32;;
100;34;1916;1950;34;;
100;35;1950;1984;34;31,7;
100;35;256;289;33;;
100;35;289;318;29;;
100;35;318;349;31;;
100;35;349;382;33;;
100;35;382;412;30;;
100;35;412;445;33;;
100;35;445;479;34;;
100;35;479;507;28;;
100;35;507;539;32;;
100;36;539;574;35;32,8;
100;36;574;609;35;;
100;36;609;638;29;;
100;36;638;671;33;;
100;36;671;699;28;;
100;36;699;736;37;;
100;36;736;764;28;;
100;36;764;801;37;;
100;36;801;835;34;;
100;36;835;867;32;;
100;37;867;899;32;32,8;
100;37;899;930;31;;
100;37;930;959;29;;
100;37;959;990;31;;
100;37;990;1028;38;;
100;37;1028;1057;29;;
100;37;1057;1090;33;;
100;37;1090;1126;36;;
100;37;1126;1163;37;;
100;37;1163;1195;32;;
100;38;1195;1225;30;33,2;
100;38;1225;1261;36;;
100;38;1261;1290;29;;
100;38;1290;1324;34;;
100;38;1324;1359;35;;
100;38;1359;1396;37;;
100;38;1396;1425;29;;
100;38;1425;1456;31;;
100;38;1456;1489;33;;
100;38;1489;1527;38;;
100;39;1527;1558;31;33,7;
100;39;1558;1595;37;;
100;39;1595;1630;35;;
100;39;1630;1668;38;;
100;39;1668;1705;37;;
100;39;1705;1735;30;;
100;39;1735;1771;36;;
100;39;1771;1800;29;;
100;39;1800;1830;30;;
100;39;1830;1864;34;;
100;40;1864;1894;30;33,7;
100;40;1894;1925;31;;
100;40;1925;1957;32;;
100;40;1957;1996;39;;
100;40;276;314;38;;
100;40;314;345;31;;
100;40;345;379;34;;
100;40;379;409;30;;
100;40;409;447;38;;
100;40;447;481;34;;
100;41;481;518;37;36,2;
100;41;518;555;37;;
100;41;555;592;37;;
100;41;592;630;38;;
100;41;630;662;32;;
100;41;662;694;32;;
100;41;694;732;38;;
100;41;732;769;37;;
100;41;769;807;38;;
100;41;807;843;36;;
100;42;843;876;33;36,8;
100;42;876;918;42;;
100;42;918;957;39;;
100;42;957;994;37;;
100;42;994;1031;37;;
